City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
137,port lincoln,-34.7333,135.8667,17.49,76,4,6.16,AU,1738270457
138,island harbour,50.724,-1.2758,4.43,85,46,0.45,GB,1738270458
139,cockburn town,21.4612,-71.1419,24.95,78,47,10.19,TC,1738270351
140,haiku-pauwela,20.9219,-156.3051,27.33,74,100,14.4,US,1738270460
141,la rinconada,37.4873,-5.9826,11.18,70,0,2.06,ES,1738270461
142,dudinka,69.4058,86.1778,-23.4,97,100,6.54,RU,1738270462
143,novodvinsk,64.4165,40.8122,-0.14,99,100,3.21,RU,1738270463
144,muli,2.9167,73.5667,27.49,75,99,5.01,MV,1738270464
145,thompson,55.7435,-97.8558,-23.91,70,0,3.09,CA,1738270322
146,coahuayana de hidalgo,18.7,-103.6583,30.99,45,18,3.3,MX,1738270468
147,sept-iles,50.2001,-66.3821,-17.75,56,20,7.2,CA,1738270205
148,kununurra,-15.7667,128.7333,23.99,88,100,2.06,AU,1738270471
149,iskateley,67.6803,53.1512,-16.99,98,66,2.97,RU,1738270472
150,port hedland,-20.3167,118.5667,30.03,84,20,3.6,AU,1738270473
151,tiksi,71.6872,128.8694,-25.84,98,100,2.33,RU,1738270474
152,formosa,-26.1775,-58.1781,33.99,54,40,6.17,AR,1738270475
153,asau,46.4333,26.4,6.16,85,100,1.48,RO,1738270477
154,yemetsk,63.4721,41.7941,1.07,100,100,3.5,RU,1738270479
155,soe,-9.8607,124.284,19.19,96,100,1.11,ID,1738270480
156,ulety,51.3572,112.4849,-30.1,98,34,0.72,RU,1738270481
157,hermanus,-34.4187,19.2345,20.45,79,4,5.8,ZA,1738270482
158,satipo,-11.2522,-74.6386,30.84,43,86,1.03,PE,1738270483
159,lagos,6.5833,3.75,26.8,81,16,2.24,NG,1738270261
160,bratsk,56.1325,101.6142,-32.73,99,46,0.85,RU,1738270485
161,tan-tan,28.438,-11.1032,15.05,66,0,11.69,MA,1738270486
162,gantang,26.92,119.6333,11.17,78,100,0.9,CN,1738270487
163,ust-nera,64.5667,143.2,-39.75,99,67,1.04,RU,1738270488
164,gadzhiyevo,69.2551,33.3362,-0.47,91,100,11.45,RU,1738270489
165,bhimunipatnam,17.8833,83.4333,21.73,86,1,2.78,IN,1738270490
166,saint croix,17.7397,-64.7388,28.25,81,0,6.69,VI,1738270491
